customer_id,date_of_birth,borough,neighborhood,zip_code,name,_rescued_data
104.0,null,BROOKLYN,NORTHWEST BROOKLYN,11215,"Schmitt, Marlene",null
106.0,01-01-1999,BROOKLYN,FLATBUSH,11203,"Engel, Lara",null
111.0,null,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Sauer, Noah",null
112.0,01-01-2000,MANHATTAN,CHELSEA AND CLINTON,10019,"Michel, Mila",null
113.0,18-05-2009,STATEN ISLAND,STAPLETON AND ST. GEORGE,10301,"Seidel, Leni",null
115.0,16-05-2005,QUEENS,CENTRAL QUEENS,11365,"Schreiber, Laurin",null
117.0,12-11-2010,QUEENS,SOUTHEAST QUEENS,11005,"Schuster, Frieda",null
128.0,23-10-1997,MANHATTAN,CENTRAL HARLEM,10027,"Stephan, Alexander",null
130.0,12-11-2010,STATEN ISLAND,PORT RICHMOND,10303,"Schilling, Leni",null
136.0,01-01-1999,BROOKLYN,SOUTHERN BROOKLYN,11229,"Klein, Malte",null
137.0,01-01-1999,BRONX,HIGH BRIDGE AND MORRISANIA,10456,"Stephan, Frieda",null
140.0,01-01-2000,STATEN ISLAND,PORT RICHMOND,10310,"Förster, Ella",null
146.0,16-05-2005,MANHATTAN,CENTRAL HARLEM,10027,"Michel, Simon",null
148.0,01-01-2000,MANHATTAN,LOWER EAST SIDE,10002,"Krüger, Nils",null
149.0,null,QUEENS,NORTHEAST QUEENS,11364,"Wagner, David",null
151.0,null,QUEENS,ROCKAWAYS,11695,"Berger, Luis",null
154.0,16-05-2005,QUEENS,NORTHEAST QUEENS,11361,"Freitag, Lea",null
156.0,13-04-1993,QUEENS,JAMAICA,11434,"Barth, Nora",null
158.0,null,BRONX,NORTHEAST BRONX,10469,"Schulz, Noah",null
165.0,21-05-1992,BROOKLYN,BOROUGH PARK,11204,"Ludwig, Emil",null
167.0,07-08-1994,BRONX,HIGH BRIDGE AND MORRISANIA,10452,"Ludwig, Jakob",null
172.0,null,QUEENS,JAMAICA,11433,"Freitag, Nele",null
179.0,01-01-2005,QUEENS,SOUTHEAST QUEENS,11005,"Bauer, Philipp",null
181.0,01-01-1999,BRONX,KINGSBRIDGE AND RIVERDALE,10463,"Simon, Samuel",null
186.0,12-11-2010,QUEENS,ROCKAWAYS,11692,"Linke, David",null
190.0,01-01-2000,QUEENS,JAMAICA,11412,"Krämer, Helene",null
191.0,12-11-2010,MANHATTAN,CENTRAL HARLEM,10039,"Heinrich, Hannes",null
193.0,10-06-1978,QUEENS,SOUTHEAST QUEENS,11426,"Pohl, Nora",null
194.0,01-01-2000,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10010,"Böhm, Julius",null
195.0,01-01-2000,QUEENS,WEST CENTRAL QUEENS,11379,"Lehmann, Dennis",null
200.0,null,BROOKLYN,BUSHWICK AND WILLIAMSBURG,11237,"Sommer, Carlotta",null
205.0,01-01-2005,QUEENS,NORTHWEST QUEENS,11103,"Dietz, Johanna",null
206.0,null,MANHATTAN,UPPER EAST SIDE,10044,"Reuter, Marie",null
217.0,01-01-2000,BROOKLYN,SOUTHWEST BROOKLYN,11214,"Paul, Emma",null
225.0,08-12-1999,STATEN ISLAND,PORT RICHMOND,10302,"Ludwig, Jonas",null
233.0,null,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Möller, Hanna",null
234.0,25-06-2000,MANHATTAN,LOWER MANHATTAN,10280,"Braun, Leon",null
239.0,04-02-2004,QUEENS,SOUTHWEST QUEENS,11419,"Arnold, Mats",null
243.0,12-11-2010,QUEENS,NORTHEAST QUEENS,11363,"Hahn, Florian",null
247.0,01-01-1999,BRONX,HUNTS POINT AND MOTT HAVEN,10459,"Werner, Ruben",null
250.0,16-05-2005,STATEN ISLAND,PORT RICHMOND,10302,"Fuchs, Tobias",null
251.0,01-01-2000,BROOKLYN,BOROUGH PARK,11219,"Maier, Anton",null
252.0,18-07-2011,BRONX,NORTHEAST BRONX,10470,"Jäger, Elias",null
253.0,11-01-2005,MANHATTAN,UPPER WEST SIDE,10025,"Schwarz, Julian",null
256.0,02-04-2010,MANHATTAN,LOWER EAST SIDE,10009,"Albrecht, Maximilian",null
258.0,29-08-1990,QUEENS,JAMAICA,11435,"Baumann, Sebastian",null
267.0,null,QUEENS,WEST QUEENS,11373,"Schulz, Philipp",null
270.0,01-01-1999,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Martens, Antonia",null
273.0,01-01-1999,BROOKLYN,NORTHWEST BROOKLYN,11205,"Jäger, Ole",null
274.0,01-01-1999,QUEENS,NORTHWEST QUEENS,11106,"Schütz, Julian",null
275.0,null,MANHATTAN,LOWER EAST SIDE,10002,"Sommer, Noah",null
277.0,25-09-1999,BROOKLYN,EAST NEW YORK AND NEW LOTS,11207,"Bauer, Malte",null
284.0,01-01-2000,MANHATTAN,CENTRAL HARLEM,10037,"Barth, Dominik",null
291.0,01-01-2000,MANHATTAN,UPPER EAST SIDE,10044,"Weber, Marie",null
303.0,null,QUEENS,JAMAICA,11433,"Kuhnert, Johannes",null
304.0,01-01-2000,BRONX,NORTHEAST BRONX,10475,"Schneider, Lisa",null
305.0,16-05-2016,BROOKLYN,SOUTHWEST BROOKLYN,11228,"Peters, Johanna",null
308.0,22-05-1995,BRONX,HIGH BRIDGE AND MORRISANIA,10452,"Braun, Greta",null
310.0,12-11-2010,BROOKLYN,SOUTHWEST BROOKLYN,11214,"Schäfer, Victoria",null
315.0,12-11-2010,BRONX,HUNTS POINT AND MOTT HAVEN,10459,"Heinrich, Greta",null
316.0,16-05-2005,QUEENS,NORTH QUEENS,11354,"Lorenz, Antonia",null
317.0,null,BRONX,HIGH BRIDGE AND MORRISANIA,10451,"Schütz, Ruben",null
321.0,12-11-2010,MANHATTAN,CHELSEA AND CLINTON,10011,"Hartmann, Julian",null
324.0,23-12-1981,BRONX,NORTHEAST BRONX,10475,"Barth, Alina",null
325.0,12-11-2000,STATEN ISLAND,STAPLETON AND ST. GEORGE,10305,"Baumann, Anton",null
346.0,12-11-2010,BROOKLYN,SOUTHERN BROOKLYN,11229,"Jung, Maximilian",null
348.0,null,QUEENS,SOUTHEAST QUEENS,11004,"Engel, Noah",null
351.0,12-11-2010,MANHATTAN,EAST HARLEM,10029,"Walter, Luna",null
352.0,15-10-2010,BROOKLYN,BUSHWICK AND WILLIAMSBURG,11206,"Schreiber, Ruben",null
355.0,01-01-2000,BRONX,NORTHEAST BRONX,10470,"Kopp, Carlotta",null
356.0,16-05-2005,BROOKLYN,BOROUGH PARK,11230,"Becker, David",null
358.0,04-05-2003,BROOKLYN,NORTHWEST BROOKLYN,11201,"Ziegler, Leni",null
360.0,16-02-2005,BRONX,KINGSBRIDGE AND RIVERDALE,10471,"Vogel, Laurin",null
363.0,12-11-2010,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Richter, Kilian",null
