customer_id,date_of_birth,borough,neighborhood,zip_code,first_name,last_name
104,null,brooklyn,NORTHWEST BROOKLYN,11215, Marlene,Schmitt
106,1999-01-01,brooklyn,FLATBUSH,11203, Lara,Engel
111,null,manhattan,GRAMERCY PARK AND MURRAY HILL,10017, Noah,Sauer
112,2000-01-01,manhattan,CHELSEA AND CLINTON,10019, Mila,Michel
113,2009-05-18,staten island,STAPLETON AND ST. GEORGE,10301, Leni,Seidel
115,2005-05-16,queens,CENTRAL QUEENS,11365, Laurin,Schreiber
117,2010-11-12,queens,SOUTHEAST QUEENS,11005, Frieda,Schuster
128,1997-10-23,manhattan,CENTRAL HARLEM,10027, Alexander,Stephan
130,2010-11-12,staten island,PORT RICHMOND,10303, Leni,Schilling
136,1999-01-01,brooklyn,SOUTHERN BROOKLYN,11229, Malte,Klein
137,1999-01-01,bronx,HIGH BRIDGE AND MORRISANIA,10456, Frieda,Stephan
140,2000-01-01,staten island,PORT RICHMOND,10310, Ella,Förster
146,2005-05-16,manhattan,CENTRAL HARLEM,10027, Simon,Michel
148,2000-01-01,manhattan,LOWER EAST SIDE,10002, Nils,Krüger
149,null,queens,NORTHEAST QUEENS,11364, David,Wagner
151,null,queens,ROCKAWAYS,11695, Luis,Berger
154,2005-05-16,queens,NORTHEAST QUEENS,11361, Lea,Freitag
156,1993-04-13,queens,JAMAICA,11434, Nora,Barth
158,null,bronx,NORTHEAST BRONX,10469, Noah,Schulz
165,1992-05-21,brooklyn,BOROUGH PARK,11204, Emil,Ludwig
167,1994-08-07,bronx,HIGH BRIDGE AND MORRISANIA,10452, Jakob,Ludwig
172,null,queens,JAMAICA,11433, Nele,Freitag
179,2005-01-01,queens,SOUTHEAST QUEENS,11005, Philipp,Bauer
181,1999-01-01,bronx,KINGSBRIDGE AND RIVERDALE,10463, Samuel,Simon
186,2010-11-12,queens,ROCKAWAYS,11692, David,Linke
190,2000-01-01,queens,JAMAICA,11412, Helene,Krämer
191,2010-11-12,manhattan,CENTRAL HARLEM,10039, Hannes,Heinrich
193,1978-06-10,queens,SOUTHEAST QUEENS,11426, Nora,Pohl
194,2000-01-01,manhattan,GRAMERCY PARK AND MURRAY HILL,10010, Julius,Böhm
195,2000-01-01,queens,WEST CENTRAL QUEENS,11379, Dennis,Lehmann
200,null,brooklyn,BUSHWICK AND WILLIAMSBURG,11237, Carlotta,Sommer
205,2005-01-01,queens,NORTHWEST QUEENS,11103, Johanna,Dietz
206,null,manhattan,UPPER EAST SIDE,10044, Marie,Reuter
217,2000-01-01,brooklyn,SOUTHWEST BROOKLYN,11214, Emma,Paul
